,authors,publicationNumber,publicationDate,articleNumber,articleTitle,downloadCount,abstract,articleContentType,authorsAffilationCountry,extracted_class
10,"[{'preferredName': 'James Callan', 'normalizedName': 'J. Callan', 'firstName': 'James', 'lastName': 'Callan', 'searchablePreferredName': 'James Callan', 'id': 37088906947}, {'preferredName': 'Justyna Petke', 'normalizedName': 'J. Petke', 'firstName': 'Justyna', 'lastName': 'Petke', 'searchablePreferredName': 'Justyna Petke', 'id': 37085469139}]",9473905,30-30 May 2021,9474401,Optimising SQL Queries Using Genetic Improvement,184,"Structured [::Query::] Language (SQL) [::queries::] are ubiquitous in modern software engineering. These [::queries::] can be costly when run on large databases with many entries and tables to consider. We propose using Genetic Improvement (GI) to explore patches for these [::queries::], with the aim of optimising their execution time, whilst maintaining the functionality of the program in which t...",Conferences,"['UKR', 'GBR']",MEDI
11,"[{'preferredName': 'S.B. Misal', 'normalizedName': 'S. B. Misal', 'firstName': 'S.B.', 'lastName': 'Misal', 'searchablePreferredName': 'S.B. Misal', 'id': 37086357573}, {'preferredName': 'P.L Yannawar', 'normalizedName': 'P. L. Yannawar', 'firstName': 'P.L', 'lastName': 'Yannawar', 'searchablePreferredName': 'P.L Yannawar', 'id': 37846633200}, {'preferredName': 'A.T. Gaikwad', 'normalizedName': 'A. T. Gaikwad', 'firstName': 'A.T.', 'lastName': 'Gaikwad', 'searchablePreferredName': 'A.T. Gaikwad', 'id': 37542548200}]",8440575,8-9 Sept. 2017,8455009,DBQA: Multi-Environment Analyzer for Query Execution Time and Cost,106,"In today&#39;s computational world, many ways are available for storing and retrieving database. Numbers of commercial database management systems are available in the market with their superiors. The primary goal of DBMSs is to provide a way to store and retrieve database information that is both convenient and efficient. The question is which one to be selected according to our need and usage. While...",Conferences,"['IOT', 'IND', 'IOT']",MEDI
12,"[{'preferredName': 'Yuanyuan Xu', 'normalizedName': 'Y. Xu', 'firstName': 'Yuanyuan', 'lastName': 'Xu', 'searchablePreferredName': 'Yuanyuan Xu', 'id': 37086936551}]",8766218,19-21 Dec. 2017,8789129,Dynamic Optimization Analysis of Keyword Query Results in Relational Databases Based on Ant Colony Optimization Algorithm,152,"When using Keyword relational database retrieval technology, users does not need any SQL language and the underlying database schema knowledge. For example, users simply use search engines like Web to obtain the relevant data in the database. KSORD has become a research focus in the field of database, however, the key technology is accurate [::query::], and it cannot implement fuzzy [::query::] we...",Conferences,['CHN'],MEDI
13,"[{'preferredName': 'Qingfeng Zhang', 'normalizedName': 'Q. Zhang', 'firstName': 'Qingfeng', 'lastName': 'Zhang', 'searchablePreferredName': 'Qingfeng Zhang', 'id': 37085434843}, {'preferredName': 'Shanshan Li', 'normalizedName': 'S. Li', 'firstName': 'Shanshan', 'lastName': 'Li', 'searchablePreferredName': 'Shanshan Li', 'id': 37085443568}, {'preferredName': 'Jing Xu', 'normalizedName': 'J. Xu', 'firstName': 'Jing', 'lastName': 'Xu', 'searchablePreferredName': 'Jing Xu', 'id': 37597910100}]",6921524,4-7 Aug. 2014,6923120,QScheduler: A Tool for Parallel Query Processing in Database Systems,263,"Parallel [::query::] processing in database systems has been actively investigated for the past several years. When several [::queries::] execute at the same time, all parallel tasks will compete for access to the underlying I/O and computation resources and this will lead to more contention and thrashing. When a series of [::queries::] of different types run concurrently in a database system, if ...",Conferences,"['CHN', 'CHN', 'CHN']",MEDI
14,"[{'preferredName': 'L. Saranya', 'normalizedName': 'L. Saranya', 'firstName': 'L.', 'lastName': 'Saranya', 'searchablePreferredName': 'L. Saranya', 'id': 37085336100}]",6915233,3-5 Jan. 2014,6921736,Optimal top-K queries processing: Sampling and dynamic scheduling approach,107,"An effective [::query::] processing plays an important role in the uncertain data streams. Specifically, multiple top-k [::queries::] processing on uncertain data streams obtained from large applications of several fields such as sensor network monitoring and internet traffic control requires periodic execution of [::queries::] and sharing results among them. The system that monitors uncertain eve...",Conferences,['IOT'],MEDI
15,"[{'preferredName': 'Zhe Fan', 'normalizedName': 'Z. Fan', 'firstName': 'Zhe', 'lastName': 'Fan', 'searchablePreferredName': 'Zhe Fan', 'id': 37085348140}, {'preferredName': 'Yun Peng', 'normalizedName': 'Y. Peng', 'firstName': 'Yun', 'lastName': 'Peng', 'searchablePreferredName': 'Yun Peng', 'id': 38065998000}, {'preferredName': 'Byron Choi', 'normalizedName': 'B. Choi', 'firstName': 'Byron', 'lastName': 'Choi', 'searchablePreferredName': 'Byron Choi', 'id': 37633531600}, {'preferredName': 'Jianliang Xu', 'normalizedName': 'J. Xu', 'firstName': 'Jianliang', 'lastName': 'Xu', 'searchablePreferredName': 'Jianliang Xu', 'id': 37279198700}, {'preferredName': 'Sourav S. Bhowmick', 'normalizedName': 'S. S. Bhowmick', 'firstName': 'Sourav S.', 'lastName': 'Bhowmick', 'searchablePreferredName': 'Sourav S. Bhowmick', 'id': 37331624900}]",4629386,Oct.-Dec. 2014,6583915,Towards Efficient Authenticated Subgraph Query Service in Outsourced Graph Databases,539,"Graphs are powerful tools suitable for a large variety of applications including chemical databases and the Semantic Web, among others. A fundamental [::query::] of graph databases is the subgraph [::query::]: given a [::query::] graph $q$, it retrieves the data graphs from a database that contain $q$. Due to the cost of managing massive data coupled with the computational hardness of subgraph [::...",Journals,"['HKG', 'HKG', 'HKG', 'CHN', 'SGP']",MEDI
16,"[{'preferredName': 'Mateusz Dziedzic', 'normalizedName': 'M. Dziedzic', 'firstName': 'Mateusz', 'lastName': 'Dziedzic', 'searchablePreferredName': 'Mateusz Dziedzic', 'id': 38468171800}, {'preferredName': 'Guy De Tré', 'normalizedName': 'G. De Tré', 'firstName': 'Guy', 'lastName': 'De Tré', 'searchablePreferredName': 'Guy De Tré', 'id': 37267207300}, {'preferredName': 'Janusz Kacprzyk', 'normalizedName': 'J. Kacprzyk', 'firstName': 'Janusz', 'lastName': 'Kacprzyk', 'searchablePreferredName': 'Janusz Kacprzyk', 'id': 37271548900}, {'preferredName': 'Sławomir Zadrożny', 'normalizedName': 'S. Zadrożny', 'firstName': 'Sławomir', 'lastName': 'Zadrożny', 'searchablePreferredName': 'Sławomir Zadrożny', 'id': 37271552000}]",9171991,19-24 July 2020,9177660,Bipolar Queries and Relative Object Qualification in Scope of User-Assisted Database Querying,39,"Two similar approaches to the modeling of bipolar user preferences, namely bipolar [::queries::] (and their extension to contextual bipolar [::queries::]) and [::queries::] with relative object qualification, are presented from the point of view of a user-assisted database [::querying::]. Their close relation is discussed, similarities and differences highlighted and possible disadvantages for the...",Conferences,"['BEL', 'BEL', 'POL', 'POL']",MEDI
17,"[{'preferredName': 'Samini Subramaniam', 'normalizedName': 'S. Subramaniam', 'firstName': 'Samini', 'lastName': 'Subramaniam', 'searchablePreferredName': 'Samini Subramaniam', 'id': 37979299000}, {'preferredName': 'Su-Cheng Haw', 'normalizedName': 'S. -C. Haw', 'firstName': 'Su-Cheng', 'lastName': 'Haw', 'searchablePreferredName': 'Su-Cheng Haw', 'id': 37590898900}, {'preferredName': 'Lay-Ki Soon', 'normalizedName': 'L. -K. Soon', 'firstName': 'Lay-Ki', 'lastName': 'Soon', 'searchablePreferredName': 'Lay-Ki Soon', 'id': 37545245300}]",6287639,2021,9351924,Improved Centralized XML Query Processing Using Distributed Query Workload,709,"eXtensible Markup Language (XML) is used widely to transfer data among a wide variety of systems. Due to an increase in [::query::] workloads and management of larger datasets, centralized processing is no longer feasible for XML [::query::] processing. To address this issue, we propose a technique that improves XML [::query::] processing through [::query::] workload distribution. An effective dis...",Journals,"['MYS', 'MYS', 'MYS']",MEDI
18,"[{'preferredName': 'Shikha Mehta', 'normalizedName': 'S. Mehta', 'firstName': 'Shikha', 'lastName': 'Mehta', 'searchablePreferredName': 'Shikha Mehta', 'id': 38003880800}, {'preferredName': 'Parmeet Kaur', 'normalizedName': 'P. Kaur', 'firstName': 'Parmeet', 'lastName': 'Kaur', 'searchablePreferredName': 'Parmeet Kaur', 'id': 38010651600}, {'preferredName': 'Pooja Lodhi', 'normalizedName': 'P. Lodhi', 'firstName': 'Pooja', 'lastName': 'Lodhi', 'searchablePreferredName': 'Pooja Lodhi', 'id': 37086512160}, {'preferredName': 'Omji Mishra', 'normalizedName': 'O. Mishra', 'firstName': 'Omji', 'lastName': 'Mishra', 'searchablePreferredName': 'Omji Mishra', 'id': 37086510084}]",8509799,2-4 Aug. 2018,8530467,Empirical Evidence of Heuristic and Cost Based Query Optimizations in Relational Databases,300,"A SQL [::query::] may be expressed in different forms with varying execution costs; hence, it is essential to choose the best when performance is considered. There are many factors that affect the cost and performance of a [::query::]. For instance, a [::query::] on a relation without proper indexes can cause full relation scans, which in turn causes either performance or locking problems. [::Quer...",Conferences,"['IOT', 'IOT', 'IOT', None]",MEDI
19,"[{'preferredName': 'Manoj Muniswamaiah', 'normalizedName': 'M. Muniswamaiah', 'firstName': 'Manoj', 'lastName': 'Muniswamaiah', 'searchablePreferredName': 'Manoj Muniswamaiah', 'id': 37088199219}, {'preferredName': 'Tilak Agerwala', 'normalizedName': 'T. Agerwala', 'firstName': 'Tilak', 'lastName': 'Agerwala', 'searchablePreferredName': 'Tilak Agerwala', 'id': 37402280600}, {'preferredName': 'Charles C. Tappert', 'normalizedName': 'C. C. Tappert', 'firstName': 'Charles C.', 'lastName': 'Tappert', 'searchablePreferredName': 'Charles C. Tappert', 'id': 37268620900}]",9377717,10-13 Dec. 2020,9378310,Approximate Query Processing for Big Data in Heterogeneous Databases,529,"Big Data analytics is used in decision making. It involves heavy computation to obtain exact answers. To alleviate this problem, approximate [::query::] processing (AQP) was adopted, which provides approximate results with error bounds. The AQP models which have been proposed are supported only by a single database. In an organization, big data is stored in multiple databases that have different d...",Conferences,"[None, None, None]",MEDI
20,"[{'preferredName': 'Amjad Qtaish', 'normalizedName': 'A. Qtaish', 'firstName': 'Amjad', 'lastName': 'Qtaish', 'searchablePreferredName': 'Amjad Qtaish', 'id': 37085619957}, {'preferredName': 'Kamsuriah Ahmad', 'normalizedName': 'K. Ahmad', 'firstName': 'Kamsuriah', 'lastName': 'Ahmad', 'searchablePreferredName': 'Kamsuriah Ahmad', 'id': 37684729700}]",7337353,10-11 Aug. 2015,7352557,Query mapping techniques for XML documents: A comparative study,107,Extensible Markup Language (XML) has grown to be a promising medium for data interchange and representation over the Internet. In the presence of the database technology there is a growing need to develop efficient storage and [::querying::] large repositories of XML documents. Numerous researchers proposed various mapping approaches using Relational Database (RDB) to store and [::query::] XML doc...,Conferences,"['SAU', 'MYS']",MEDI
21,"[{'preferredName': 'Eman El-Dawy', 'normalizedName': 'E. El-Dawy', 'firstName': 'Eman', 'lastName': 'El-Dawy', 'searchablePreferredName': 'Eman El-Dawy', 'id': 38280867500}, {'preferredName': 'Hoda M. O. Mokhtar', 'normalizedName': 'H. M. O. Mokhtar', 'firstName': 'Hoda M. O.', 'lastName': 'Mokhtar', 'searchablePreferredName': 'Hoda M. O. Mokhtar', 'id': 37321215700}, {'preferredName': 'Ali El-Bastawissy', 'normalizedName': 'A. El-Bastawissy', 'firstName': 'Ali', 'lastName': 'El-Bastawissy', 'searchablePreferredName': 'Ali El-Bastawissy', 'id': 38272709600}]",6044612,6-6 Sept. 2011,6053927,Multi-level continuous skyline queries (MCSQ),188,"Most of the current work on skyline [::queries::] mainly dealt with [::querying::] static [::query::] points over static data sets. With the advances in wireless communication, mobile computing, and positioning technologies, it has become possible to obtain and manage (model, index, [::query::], etc.) the trajectories of moving objects in real life, and consequently the need for continuous skyline...",Conferences,"['EGY', 'EGY', 'EGY']",MEDI
22,"[{'preferredName': 'Weining Zhang Zhang', 'normalizedName': 'W. Z. Zhang', 'firstName': 'Weining Zhang', 'lastName': 'Zhang', 'searchablePreferredName': 'Weining Zhang Zhang', 'id': 37085564074}, {'preferredName': 'David Holland Holland', 'normalizedName': 'D. H. Holland', 'firstName': 'David Holland', 'lastName': 'Holland', 'searchablePreferredName': 'David Holland Holland', 'id': 37085794506}]",8605299,17-20 Dec. 2018,8605751,Using Containers to Execute SQL Queries in a Cloud,185,"Emergent software container technology is available on any cloud and opens up new opportunities to execute and scale data computationally intensive applications wherever data is located. However, many traditional databases hosted on clouds have not scaled well. In this paper, a framework and methodology to containerize a SQL [::query::] is presented, so that, a single SQL [::query::] can be scaled...",Conferences,"['USA', None]",MEDI
23,"[{'preferredName': 'Abhilasha Kate', 'normalizedName': 'A. Kate', 'firstName': 'Abhilasha', 'lastName': 'Kate', 'searchablePreferredName': 'Abhilasha Kate', 'id': 37086468029}, {'preferredName': 'Satish Kamble', 'normalizedName': 'S. Kamble', 'firstName': 'Satish', 'lastName': 'Kamble', 'searchablePreferredName': 'Satish Kamble', 'id': 37086467748}, {'preferredName': 'Aishwarya Bodkhe', 'normalizedName': 'A. Bodkhe', 'firstName': 'Aishwarya', 'lastName': 'Bodkhe', 'searchablePreferredName': 'Aishwarya Bodkhe', 'id': 37086467715}, {'preferredName': 'Mrunal Joshi', 'normalizedName': 'M. Joshi', 'firstName': 'Mrunal', 'lastName': 'Joshi', 'searchablePreferredName': 'Mrunal Joshi', 'id': 37086468195}]",8466240,29-31 March 2018,8474639,Conversion of Natural Language Query to SQL Query,1855,This paper present an approach to automate the conversion of Natural Language [::Query::] to SQL [::Query::] effectively. Structured [::Query::] Language is a powerful tool for managing data held in a relational database management system. To retrieve or manage data user have to enter the correct SQL [::Query::]. But the users who don&#39;t have any knowledge about SQL are unable to retrieve the requi...,Conferences,"['IOT', None, 'IOT', 'IOT']",MEDI
24,"[{'preferredName': 'Chantal Montgomery', 'normalizedName': 'C. Montgomery', 'firstName': 'Chantal', 'lastName': 'Montgomery', 'searchablePreferredName': 'Chantal Montgomery', 'id': 37088548718}, {'preferredName': 'Haruna Isah', 'normalizedName': 'H. Isah', 'firstName': 'Haruna', 'lastName': 'Isah', 'searchablePreferredName': 'Haruna Isah', 'id': 37085458187}, {'preferredName': 'Farhana Zulkernine', 'normalizedName': 'F. Zulkernine', 'firstName': 'Farhana', 'lastName': 'Zulkernine', 'searchablePreferredName': 'Farhana Zulkernine', 'id': 37540975600}]",9245604,25-26 Sept. 2020,9245462,Towards a Natural Language Query Processing System,204,Tackling the information retrieval gap between non-technical database end-users and those with the knowledge of formal [::query::] languages has been an interesting area of data management and analytics research. The use of natural language interfaces to [::query::] information from databases offers the opportunity to bridge the communication challenges between endusers and systems that use formal...,Conferences,"['CAN', 'CAN', 'CAN']",MEDI
25,"[{'preferredName': 'Yunjun Gao', 'normalizedName': 'Y. Gao', 'firstName': 'Yunjun', 'lastName': 'Gao', 'searchablePreferredName': 'Yunjun Gao', 'id': 37633584000}, {'preferredName': 'Xu Qin', 'normalizedName': 'X. Qin', 'firstName': 'Xu', 'lastName': 'Qin', 'searchablePreferredName': 'Xu Qin', 'id': 37085547149}, {'preferredName': 'Baihua Zheng', 'normalizedName': 'B. Zheng', 'firstName': 'Baihua', 'lastName': 'Zheng', 'searchablePreferredName': 'Baihua Zheng', 'id': 37272833500}, {'preferredName': 'Gang Chen', 'normalizedName': 'G. Chen', 'firstName': 'Gang', 'lastName': 'Chen', 'searchablePreferredName': 'Gang Chen', 'id': 37335255200}]",69,1 May 2015,6940263,Efficient Reverse Top-k Boolean Spatial Keyword Queries on Road Networks,1042,"Reverse k nearest neighbor (RkNN) [::queries::] have a broad application base such as decision support, profile-based marketing, and resource allocation. Previous work on RkNN search does not take textual information into consideration or limits to the Euclidean space. In the real world, however, most spatial objects are associated with textual information and lie on road networks. In this paper, ...",Journals,"['CHN', 'CHN', 'SGP', 'CHN']",MEDI
26,"[{'preferredName': 'Wang Hairong', 'normalizedName': 'W. Hairong', 'firstName': 'Wang', 'lastName': 'Hairong', 'searchablePreferredName': 'Wang Hairong', 'id': 37671621900}, {'preferredName': 'Guo Ying', 'normalizedName': 'G. Ying', 'firstName': 'Guo', 'lastName': 'Ying', 'searchablePreferredName': 'Guo Ying', 'id': 37086356395}]",8318023,13-16 Dec. 2017,8323006,The research and application of domain-ontology-oriented flexible query method,52,"To solve the problem of empty or incongruent results in semantic [::queries::], the paper proposes a flexible [::query::] method of domain ontology. Starting with the synonym analysis of semantic dictionary, the method makes a synonym expansion combining the synonymy and hyponymy in ontology, calls word similarity formula to calculate the similarity between the [::query::] keyword and its synonyms...",Conferences,"['CHN', 'CHN']",MEDI
27,"[{'preferredName': 'George Obaido', 'normalizedName': 'G. Obaido', 'firstName': 'George', 'lastName': 'Obaido', 'searchablePreferredName': 'George Obaido', 'id': 37086826915}, {'preferredName': 'Abejide Ade-Ibijola', 'normalizedName': 'A. Ade-Ibijola', 'firstName': 'Abejide', 'lastName': 'Ade-Ibijola', 'searchablePreferredName': 'Abejide Ade-Ibijola', 'id': 37086276888}, {'preferredName': 'Hima Vadapalli', 'normalizedName': 'H. Vadapalli', 'firstName': 'Hima', 'lastName': 'Vadapalli', 'searchablePreferredName': 'Hima Vadapalli', 'id': 37085445371}]",8693291,6-8 March 2019,8703620,Generating Narrations of Nested SQL Queries Using Context-free Grammars,201,"In the software industry, Structured [::Query::] Language (SQL) remains a highly sought-after skill required by most employers. SQL is widely adopted as the preferred declarative language to manipulate data in relational databases. However, the process of comprehending written and new [::queries::] turns out to be difficult, especially for novices. To address this problem, a plethora of tools have...",Conferences,"['USA', 'ZAF', 'ZAF']",MEDI
28,"[{'preferredName': 'Jiun-Long Huang', 'normalizedName': 'J. -L. Huang', 'firstName': 'Jiun-Long', 'lastName': 'Huang', 'searchablePreferredName': 'Jiun-Long Huang', 'id': 37281260900}, {'preferredName': 'Chen-Che Huang', 'normalizedName': 'C. -C. Huang', 'firstName': 'Chen-Che', 'lastName': 'Huang', 'searchablePreferredName': 'Chen-Che Huang', 'id': 37986507500}]",69,Feb. 2013,6030875,A Proxy-Based Approach to Continuous Location-Based Spatial Queries in Mobile Environments,1447,"Caching valid regions of spatial [::queries::] at mobile clients is effective in reducing the number of [::queries::] submitted by mobile clients and [::query::] load on the server. However, mobile clients suffer from longer waiting time for the server to compute valid regions. We propose in this paper a proxy-based approach to continuous nearest-neighbor (NN) and window [::queries::]. The proxy c...",Journals,"['TWN', 'TWN']",MEDI
